,State_2,number_of_hotspots_20/3/2020,number_of_hotspots_27/3/2020,change1
0,Tamil Nadu,2.0,4.0,2.0
1,Rajasthan,1.0,3.0,2.0
7,Punjab,0.0,1.0,1.0
11,Karnataka,0.0,1.0,1.0
9,Madhya Pradesh,0.0,1.0,1.0
8,Gujarat,0.0,1.0,1.0
10,Kerala,0.0,1.0,1.0
6,Jammu and Kashmir,0.0,1.0,1.0
5,Uttar Pradesh,0.0,1.0,1.0
4,Maharashtra,0.0,1.0,1.0
3,Telangana,0.0,1.0,1.0
2,Andhra Pradesh,0.0,1.0,1.0
12,Haryana,0.0,0.0,0.0
13,Uttarakhand,0.0,0.0,0.0
14,Odisha,0.0,0.0,0.0
15,Chandigarh,0.0,0.0,0.0
16,Himachal Pradesh,0.0,0.0,0.0
17,Ladakh,0.0,0.0,0.0
18,Delhi,0.0,0.0,0.0
19,Chhattisgarh,0.0,0.0,0.0
20,Bihar,0.0,0.0,0.0
