,State_2,number_of_hotspots_03/4/2020,number_of_hotspots_10/4/2020,change3
0,Tamil Nadu,14.0,25,11.0
3,Telangana,5.0,11,6.0
2,Andhra Pradesh,6.0,11,5.0
4,Maharashtra,5.0,10,5.0
7,Punjab,3.0,7,4.0
1,Rajasthan,8.0,12,4.0
8,Gujarat,3.0,7,4.0
10,Kerala,2.0,6,4.0
6,Jammu and Kashmir,4.0,8,4.0
5,Uttar Pradesh,5.0,9,4.0
12,Haryana,1.0,4,3.0
9,Madhya Pradesh,3.0,6,3.0
11,Karnataka,2.0,4,2.0
18,Delhi,0.0,1,1.0
19,Chhattisgarh,0.0,1,1.0
20,Bihar,0.0,1,1.0
13,Uttarakhand,1.0,1,0.0
14,Odisha,1.0,1,0.0
15,Chandigarh,1.0,1,0.0
16,Himachal Pradesh,1.0,1,0.0
17,Ladakh,1.0,1,0.0
